pitch_type,prev_pitch,prev_type,stand,balls,strikes,runner,outs_when_up,inning,run_diff
Slider,Cutter,S,L,0,1,0,1,1,0
Four-Seam Fastball,Slider,X,R,0,0,0,2,1,0
Four-Seam Fastball,Four-Seam Fastball,X,R,0,0,1,2,1,0
2 Seam Fastball,Four-Seam Fastball,B,R,1,0,1,2,1,0
Slider,2 Seam Fastball,S,R,1,1,1,2,1,0
Cutter,Slider,B,R,2,1,1,2,1,0
Cutter,Cutter,S,R,2,2,1,2,1,0
Four-Seam Fastball,Cutter,X,L,0,0,0,0,2,0
Slider,Four-Seam Fastball,S,L,0,1,0,0,2,0
Cutter,Slider,B,L,1,1,0,0,2,0
Slider,Cutter,B,L,2,1,0,0,2,0
Four-Seam Fastball,Slider,B,L,3,1,0,0,2,0
Cutter,Four-Seam Fastball,X,L,0,0,0,1,2,0
Four-Seam Fastball,Cutter,S,L,0,1,0,1,2,0
Cutter,Four-Seam Fastball,S,L,0,2,0,1,2,0
Cutter,Cutter,S,L,0,2,0,1,2,0
Four-Seam Fastball,Cutter,S,L,0,2,0,1,2,0
2 Seam Fastball,Four-Seam Fastball,B,L,1,2,0,1,2,0
Slider,2 Seam Fastball,B,L,2,2,0,1,2,0
Slider,Slider,X,R,0,0,0,2,2,0
Four-Seam Fastball,Slider,X,R,0,0,0,0,3,1
Cutter,Four-Seam Fastball,S,R,0,1,0,0,3,1
Slider,Cutter,S,R,0,2,0,0,3,1
Four-Seam Fastball,Slider,X,R,0,0,1,0,3,1
Cutter,Four-Seam Fastball,S,R,0,1,1,0,3,1
Slider,Cutter,S,R,0,2,1,0,3,1
Four-Seam Fastball,Slider,B,R,1,2,1,0,3,1
Four-Seam Fastball,Four-Seam Fastball,S,L,0,0,1,1,3,1
Four-Seam Fastball,Four-Seam Fastball,S,L,0,1,1,1,3,1
Four-Seam Fastball,Four-Seam Fastball,S,L,0,2,1,1,3,1
Four-Seam Fastball,Four-Seam Fastball,B,L,1,2,1,1,3,1
Cutter,Four-Seam Fastball,X,L,0,0,1,1,3,1
Four-Seam Fastball,Cutter,S,L,0,1,1,1,3,1
Four-Seam Fastball,Four-Seam Fastball,B,L,1,1,1,1,3,1
2 Seam Fastball,Four-Seam Fastball,S,L,1,2,1,1,3,1
Slider,2 Seam Fastball,B,L,2,2,1,1,3,1
Slider,Slider,B,L,3,2,1,1,3,1
2 Seam Fastball,Slider,X,R,0,0,1,2,3,0
2 Seam Fastball,2 Seam Fastball,B,R,1,0,1,2,3,0
Slider,2 Seam Fastball,X,R,0,0,0,2,3,-2
Four-Seam Fastball,Slider,B,R,1,0,0,2,3,-2
Four-Seam Fastball,Four-Seam Fastball,S,R,1,1,0,2,3,-2
Slider,Four-Seam Fastball,B,R,2,1,0,2,3,-2
Four-Seam Fastball,Slider,X,L,0,0,0,0,4,-2
Cutter,Four-Seam Fastball,S,L,0,1,0,0,4,-2
2 Seam Fastball,Cutter,S,L,0,2,0,0,4,-2
Changeup,2 Seam Fastball,S,L,0,0,0,1,4,-2
Cutter,Changeup,S,L,0,1,0,1,4,-2
Cutter,Cutter,X,R,0,0,0,2,4,-2
Slider,Cutter,S,R,0,1,0,2,4,-2
Four-Seam Fastball,Slider,B,R,1,1,0,2,4,-2
Four-Seam Fastball,Four-Seam Fastball,S,R,1,2,0,2,4,-2
Cutter,Four-Seam Fastball,S,R,0,0,0,0,5,-2
Slider,Cutter,B,R,1,0,0,0,5,-2
Four-Seam Fastball,Slider,S,R,1,1,0,0,5,-2
2 Seam Fastball,Four-Seam Fastball,B,R,2,1,0,0,5,-2
Four-Seam Fastball,2 Seam Fastball,X,R,0,0,0,1,5,-2
Cutter,Four-Seam Fastball,S,R,0,1,0,1,5,-2
Four-Seam Fastball,Cutter,B,R,1,1,0,1,5,-2
Cutter,Four-Seam Fastball,S,R,1,2,0,1,5,-2
Slider,Cutter,B,R,2,2,0,1,5,-2
Four-Seam Fastball,Slider,B,R,3,2,0,1,5,-2
2 Seam Fastball,Four-Seam Fastball,S,L,0,0,0,2,5,-2
Four-Seam Fastball,2 Seam Fastball,S,L,0,1,0,2,5,-2
Slider,Four-Seam Fastball,S,L,0,2,0,2,5,-2
Cutter,Slider,B,L,1,2,0,2,5,-2
Cutter,Cutter,B,L,2,2,0,2,5,-2
Cutter,Cutter,S,L,2,2,0,2,5,-2
Cutter,Cutter,X,L,0,0,0,0,6,-2
Cutter,Cutter,B,L,1,0,0,0,6,-2
Cutter,Cutter,S,L,1,1,0,0,6,-2
2 Seam Fastball,Cutter,S,L,1,2,0,0,6,-2
Cutter,2 Seam Fastball,S,R,0,0,0,1,6,-2
Four-Seam Fastball,Cutter,S,R,0,1,0,1,6,-2
Four-Seam Fastball,Four-Seam Fastball,B,R,1,1,0,1,6,-2
Four-Seam Fastball,Four-Seam Fastball,X,R,0,0,0,2,6,-2
2 Seam Fastball,Four-Seam Fastball,S,R,0,1,0,2,6,-2
2 Seam Fastball,2 Seam Fastball,B,R,1,1,0,2,6,-2
2 Seam Fastball,2 Seam Fastball,B,R,2,1,0,2,6,-2
2 Seam Fastball,2 Seam Fastball,S,R,2,2,0,2,6,-2
Four-Seam Fastball,2 Seam Fastball,B,R,3,2,0,2,6,-2
2 Seam Fastball,Four-Seam Fastball,S,R,3,2,0,2,6,-2
Four-Seam Fastball,2 Seam Fastball,X,R,0,0,0,0,1,0
Cutter,Four-Seam Fastball,S,R,0,1,0,0,1,0
Four-Seam Fastball,Cutter,S,R,0,2,0,0,1,0
2 Seam Fastball,Four-Seam Fastball,B,R,1,2,0,0,1,0
Cutter,2 Seam Fastball,X,L,0,0,0,1,1,0
Changeup,Cutter,S,L,0,1,0,1,1,0
Slider,Changeup,B,L,1,1,0,1,1,0
Cutter,Slider,X,R,0,0,0,2,1,0
Slider,Cutter,S,R,0,1,0,2,1,0
Slider,Slider,B,R,1,1,0,2,1,0
Four-Seam Fastball,Slider,S,R,1,2,0,2,1,0
2 Seam Fastball,Four-Seam Fastball,S,L,0,0,0,0,2,2
Cutter,2 Seam Fastball,B,L,1,0,0,0,2,2
Cutter,Cutter,S,L,1,1,0,0,2,2
Four-Seam Fastball,Cutter,B,L,2,1,0,0,2,2
2 Seam Fastball,Four-Seam Fastball,S,L,2,2,0,0,2,2
2 Seam Fastball,2 Seam Fastball,B,L,3,2,0,0,2,2
Four-Seam Fastball,2 Seam Fastball,B,L,0,0,1,0,2,2
Four-Seam Fastball,Four-Seam Fastball,S,L,0,1,1,0,2,2
Cutter,Four-Seam Fastball,S,L,0,2,1,0,2,2
Four-Seam Fastball,Cutter,B,L,1,2,1,0,2,2
Cutter,Four-Seam Fastball,X,R,0,0,0,2,2,2
Slider,Cutter,S,R,0,1,0,2,2,2
Cutter,Slider,B,R,1,1,0,2,2,2
Slider,Cutter,S,R,1,2,0,2,2,2
Slider,Slider,B,R,2,2,0,2,2,2
Cutter,Slider,S,L,0,0,0,0,3,2
Four-Seam Fastball,Cutter,S,L,0,1,0,0,3,2
Four-Seam Fastball,Four-Seam Fastball,S,L,0,2,0,0,3,2
2 Seam Fastball,Four-Seam Fastball,B,L,1,2,0,0,3,2
Slider,2 Seam Fastball,S,L,1,2,0,0,3,2
Cutter,Slider,B,L,2,2,0,0,3,2
Slider,Cutter,S,L,2,2,0,0,3,2
Slider,Slider,X,R,0,0,1,0,3,2
2 Seam Fastball,Slider,S,R,0,1,1,0,3,2
Four-Seam Fastball,2 Seam Fastball,S,R,0,2,1,0,3,2
Slider,Four-Seam Fastball,S,R,0,0,1,1,3,2
Changeup,Slider,B,R,1,0,1,1,3,2
Slider,Changeup,S,R,1,1,1,1,3,2
Cutter,Slider,S,R,1,2,1,1,3,2
Slider,Cutter,S,R,0,0,1,2,3,2
Four-Seam Fastball,Slider,S,R,0,1,1,2,3,2
2 Seam Fastball,Four-Seam Fastball,B,R,1,1,1,2,3,2
Slider,2 Seam Fastball,S,R,1,2,1,2,3,2
2 Seam Fastball,Slider,B,R,2,2,1,2,3,2
Slider,2 Seam Fastball,B,R,3,2,1,2,3,2
Four-Seam Fastball,Slider,X,L,0,0,1,2,3,1
2 Seam Fastball,Four-Seam Fastball,X,R,0,0,0,0,4,1
2 Seam Fastball,2 Seam Fastball,B,R,1,0,0,0,4,1
Cutter,2 Seam Fastball,X,L,0,0,0,1,4,1
Four-Seam Fastball,Cutter,S,L,0,1,0,1,4,1
Four-Seam Fastball,Four-Seam Fastball,B,L,1,1,0,1,4,1
Cutter,Four-Seam Fastball,S,L,1,2,0,1,4,1
Cutter,Cutter,S,L,0,0,0,2,4,1
Changeup,Cutter,B,L,1,0,0,2,4,1
Cutter,Changeup,B,L,2,0,0,2,4,1
Four-Seam Fastball,Cutter,S,L,2,1,0,2,4,1
Four-Seam Fastball,Four-Seam Fastball,B,L,3,1,0,2,4,1
2 Seam Fastball,Four-Seam Fastball,B,R,0,0,1,2,4,1
Slider,2 Seam Fastball,S,R,0,1,1,2,4,1
Slider,Slider,B,R,1,1,1,2,4,1
Cutter,Slider,B,R,2,1,1,2,4,1
Slider,Cutter,S,R,2,2,1,2,4,1
2 Seam Fastball,Slider,B,R,3,2,1,2,4,1
2 Seam Fastball,2 Seam Fastball,X,L,0,0,1,2,4,1
2 Seam Fastball,2 Seam Fastball,B,L,1,0,1,2,4,1
Four-Seam Fastball,2 Seam Fastball,B,L,2,0,1,2,4,1
Four-Seam Fastball,Four-Seam Fastball,B,L,3,0,1,2,4,1
Slider,Four-Seam Fastball,B,R,0,0,1,2,4,1
Slider,Slider,B,R,1,0,1,2,4,1
Cutter,Slider,S,R,1,1,1,2,4,1
2 Seam Fastball,Cutter,S,R,1,2,1,2,4,1
Four-Seam Fastball,2 Seam Fastball,S,R,1,2,1,2,4,1
Cutter,Four-Seam Fastball,B,R,2,2,1,2,4,1
Slider,Cutter,S,R,2,2,1,2,4,1
Slider,Slider,X,L,0,0,0,0,5,1
Cutter,Slider,S,L,0,1,0,0,5,1
Cutter,Cutter,B,L,1,1,0,0,5,1
2 Seam Fastball,Cutter,S,L,1,2,0,0,5,1
2 Seam Fastball,2 Seam Fastball,S,L,1,2,0,0,5,1
Four-Seam Fastball,2 Seam Fastball,X,R,0,0,0,1,5,1
Four-Seam Fastball,Four-Seam Fastball,S,R,0,1,0,1,5,1
2 Seam Fastball,Four-Seam Fastball,S,R,0,2,0,1,5,1
Cutter,2 Seam Fastball,B,L,0,0,1,1,5,1
Slider,Cutter,S,L,0,1,1,1,5,1
Cutter,Slider,S,L,0,2,1,1,5,1
2 Seam Fastball,Cutter,S,R,0,0,1,2,5,1
2 Seam Fastball,2 Seam Fastball,B,R,1,0,1,2,5,1
2 Seam Fastball,2 Seam Fastball,S,R,1,1,1,2,5,1
Cutter,2 Seam Fastball,B,R,2,1,1,2,5,1
Cutter,Cutter,S,R,2,2,1,2,5,1
2 Seam Fastball,Cutter,B,R,3,2,1,2,5,1
Four-Seam Fastball,2 Seam Fastball,B,L,0,0,1,2,5,1
Four-Seam Fastball,Four-Seam Fastball,B,L,1,0,1,2,5,1
Four-Seam Fastball,Four-Seam Fastball,S,L,1,1,1,2,5,1
Cutter,Four-Seam Fastball,S,L,1,2,1,2,5,1
Cutter,Cutter,B,L,2,2,1,2,5,1
Cutter,Cutter,S,L,2,2,1,2,5,1
Four-Seam Fastball,Cutter,S,L,2,2,1,2,5,1
Four-Seam Fastball,Four-Seam Fastball,S,R,0,0,0,0,1,2
Four-Seam Fastball,Four-Seam Fastball,B,R,1,0,0,0,1,2
Slider,Four-Seam Fastball,B,R,2,0,0,0,1,2
Four-Seam Fastball,Slider,S,R,2,1,0,0,1,2
Four-Seam Fastball,Four-Seam Fastball,S,R,2,2,0,0,1,2
Slider,Four-Seam Fastball,B,R,3,2,0,0,1,2
Four-Seam Fastball,Slider,S,R,3,2,0,0,1,2
Cutter,Four-Seam Fastball,B,L,0,0,1,0,1,2
Four-Seam Fastball,Cutter,S,L,0,1,1,0,1,2
Cutter,Four-Seam Fastball,B,L,1,1,1,0,1,2
Cutter,Cutter,S,L,1,2,1,0,1,2
Slider,Cutter,B,L,2,2,1,0,1,2
2 Seam Fastball,Slider,S,R,0,0,1,1,1,2
Cutter,2 Seam Fastball,X,L,0,0,1,1,1,1
Four-Seam Fastball,Cutter,B,L,1,0,1,1,1,1
Slider,Four-Seam Fastball,S,L,1,1,1,1,1,1
Cutter,Slider,S,L,1,2,1,1,1,1
Four-Seam Fastball,Cutter,X,L,0,0,1,2,1,1
Cutter,Four-Seam Fastball,S,L,0,1,1,2,1,1
Four-Seam Fastball,Cutter,B,L,1,1,1,2,1,1
Cutter,Four-Seam Fastball,S,L,1,2,1,2,1,1
Four-Seam Fastball,Cutter,B,L,2,2,1,2,1,1
Four-Seam Fastball,Four-Seam Fastball,S,R,0,0,0,0,2,3
Slider,Four-Seam Fastball,B,R,1,0,0,0,2,3
Four-Seam Fastball,Slider,X,R,0,0,0,1,2,3
2 Seam Fastball,Four-Seam Fastball,S,R,0,1,0,1,2,3
Slider,2 Seam Fastball,S,R,0,2,0,1,2,3
Cutter,Slider,S,R,0,2,0,1,2,3
Four-Seam Fastball,Cutter,B,R,1,2,0,1,2,3
Slider,Four-Seam Fastball,S,R,1,2,0,1,2,3
Four-Seam Fastball,Slider,B,R,2,2,0,1,2,3
Slider,Four-Seam Fastball,S,R,2,2,0,1,2,3
Cutter,Slider,X,L,0,0,0,1,2,2
Cutter,Cutter,S,L,0,1,0,1,2,2
Four-Seam Fastball,Cutter,B,L,1,1,0,1,2,2
Four-Seam Fastball,Four-Seam Fastball,X,R,0,0,1,1,2,2
Cutter,Four-Seam Fastball,S,R,0,1,1,1,2,2
Four-Seam Fastball,Cutter,B,R,1,1,1,1,2,2
Four-Seam Fastball,Four-Seam Fastball,S,R,1,2,1,1,2,2
Slider,Four-Seam Fastball,B,R,2,2,1,1,2,2
Four-Seam Fastball,Slider,B,R,3,2,1,1,2,2
Cutter,Four-Seam Fastball,S,R,0,0,1,2,2,2
Slider,Cutter,S,R,0,1,1,2,2,2
Slider,Slider,X,L,0,0,0,0,3,3
Four-Seam Fastball,Slider,B,L,1,0,0,0,3,3
Changeup,Four-Seam Fastball,S,L,1,1,0,0,3,3
Four-Seam Fastball,Changeup,S,L,1,2,0,0,3,3
Cutter,Four-Seam Fastball,B,L,2,2,0,0,3,3
Slider,Cutter,S,R,0,0,0,1,3,3
Cutter,Slider,S,R,0,1,0,1,3,3
Four-Seam Fastball,Cutter,B,R,1,1,0,1,3,3
Four-Seam Fastball,Four-Seam Fastball,S,R,1,2,0,1,3,3
Four-Seam Fastball,Four-Seam Fastball,B,R,2,2,0,1,3,3
Four-Seam Fastball,Four-Seam Fastball,S,R,2,2,0,1,3,3
Slider,Four-Seam Fastball,S,R,2,2,0,1,3,3
Cutter,Slider,S,R,2,2,0,1,3,3
Four-Seam Fastball,Cutter,B,R,3,2,0,1,3,3
Changeup,Four-Seam Fastball,X,L,0,0,0,1,3,2
Cutter,Changeup,S,L,0,1,0,1,3,2
Four-Seam Fastball,Cutter,B,L,1,1,0,1,3,2
Changeup,Four-Seam Fastball,B,L,2,1,0,1,3,2
Four-Seam Fastball,Changeup,X,L,0,0,0,2,3,2
Cutter,Four-Seam Fastball,S,L,0,1,0,2,3,2
Changeup,Cutter,B,L,1,1,0,2,3,2
Four-Seam Fastball,Changeup,B,L,2,1,0,2,3,2
Cutter,Four-Seam Fastball,S,L,2,2,0,2,3,2
Four-Seam Fastball,Cutter,S,L,2,2,0,2,3,2
Changeup,Four-Seam Fastball,S,L,2,2,0,2,3,2
Four-Seam Fastball,Changeup,B,L,3,2,0,2,3,2
Cutter,Four-Seam Fastball,S,R,0,0,0,0,4,3
Slider,Cutter,S,R,0,1,0,0,4,3
Cutter,Slider,X,R,0,0,0,1,4,3
Four-Seam Fastball,Cutter,S,R,0,1,0,1,4,3
Four-Seam Fastball,Four-Seam Fastball,S,R,0,2,0,1,4,3
2 Seam Fastball,Four-Seam Fastball,B,R,1,2,0,1,4,3
Slider,2 Seam Fastball,S,R,1,2,0,1,4,3
Four-Seam Fastball,Slider,B,R,2,2,0,1,4,3
Four-Seam Fastball,Four-Seam Fastball,S,R,2,2,0,1,4,3
Four-Seam Fastball,Four-Seam Fastball,S,R,2,2,0,1,4,3
Four-Seam Fastball,Four-Seam Fastball,S,R,2,2,0,1,4,3
Cutter,Four-Seam Fastball,S,R,2,2,0,1,4,3
Four-Seam Fastball,Cutter,B,R,3,2,0,1,4,3
Four-Seam Fastball,Four-Seam Fastball,S,R,3,2,0,1,4,3
2 Seam Fastball,Four-Seam Fastball,X,L,0,0,0,2,4,3
Four-Seam Fastball,2 Seam Fastball,S,L,0,1,0,2,4,3
Cutter,Four-Seam Fastball,B,L,1,1,0,2,4,3
2 Seam Fastball,Cutter,B,L,2,1,0,2,4,3
Slider,2 Seam Fastball,X,R,0,0,0,0,5,3
Four-Seam Fastball,Slider,B,R,1,0,0,0,5,3
Cutter,Four-Seam Fastball,S,R,1,1,0,0,5,3
Slider,Cutter,B,R,2,1,0,0,5,3
Slider,Slider,B,R,3,1,0,0,5,3
Four-Seam Fastball,Slider,S,R,3,2,0,0,5,3
Changeup,Four-Seam Fastball,X,R,0,0,0,1,5,3
Changeup,Changeup,X,L,0,0,1,1,5,3
Changeup,Changeup,B,L,1,0,1,1,5,3
Changeup,Changeup,B,L,2,0,1,1,5,3
Changeup,Changeup,X,R,0,0,1,2,5,3
Four-Seam Fastball,Changeup,S,R,0,1,1,2,5,3
Cutter,Four-Seam Fastball,X,R,0,0,0,0,1,0
2 Seam Fastball,Cutter,S,R,0,1,0,0,1,0
Four-Seam Fastball,2 Seam Fastball,X,L,0,0,0,1,1,0
Four-Seam Fastball,Four-Seam Fastball,S,L,0,1,0,1,1,0
Slider,Four-Seam Fastball,B,L,1,1,0,1,1,0
2 Seam Fastball,Slider,S,L,1,2,0,1,1,0
Four-Seam Fastball,2 Seam Fastball,S,R,0,0,0,2,1,0
Four-Seam Fastball,Four-Seam Fastball,S,R,0,1,0,2,1,0
Slider,Four-Seam Fastball,S,R,0,2,0,2,1,0
Four-Seam Fastball,Slider,X,L,0,0,1,2,1,0
Cutter,Four-Seam Fastball,S,L,0,1,1,2,1,0
Cutter,Cutter,X,R,0,0,0,0,2,0
Slider,Cutter,B,R,1,0,0,0,2,0
Four-Seam Fastball,Slider,B,R,2,0,0,0,2,0
Four-Seam Fastball,Four-Seam Fastball,B,R,3,0,0,0,2,0
Four-Seam Fastball,Four-Seam Fastball,S,R,3,1,0,0,2,0
Slider,Four-Seam Fastball,S,R,3,2,0,0,2,0
Four-Seam Fastball,Slider,S,R,3,2,0,0,2,0
Four-Seam Fastball,Four-Seam Fastball,S,R,3,2,0,0,2,0
Cutter,Four-Seam Fastball,X,L,0,0,1,0,2,0
Slider,Cutter,S,L,0,1,1,0,2,0
Slider,Slider,B,L,1,1,1,0,2,0
Cutter,Slider,X,R,0,0,0,1,2,-1
Slider,Cutter,B,R,0,0,1,1,2,-1
Four-Seam Fastball,Slider,S,R,0,1,1,1,2,-1
Slider,Four-Seam Fastball,S,R,0,2,1,1,2,-1
Four-Seam Fastball,Slider,X,L,0,0,1,2,2,-1
Four-Seam Fastball,Four-Seam Fastball,X,R,0,0,0,0,3,-1
2 Seam Fastball,Four-Seam Fastball,B,R,1,0,0,0,3,-1
Slider,2 Seam Fastball,X,L,0,0,1,0,3,-1
Slider,Slider,S,L,0,1,1,0,3,-1
Four-Seam Fastball,Slider,S,L,0,2,1,0,3,-1
2 Seam Fastball,Four-Seam Fastball,B,L,1,2,1,0,3,-1
Slider,2 Seam Fastball,S,R,0,0,1,1,3,-1
Slider,Slider,S,R,0,1,1,1,3,-1
Cutter,Slider,B,R,1,1,1,1,3,-1
Four-Seam Fastball,Cutter,S,R,1,2,1,1,3,-1
Cutter,Four-Seam Fastball,X,L,0,0,0,0,4,0
Four-Seam Fastball,Cutter,B,L,1,0,0,0,4,0
Slider,Four-Seam Fastball,S,L,1,1,0,0,4,0
Four-Seam Fastball,Slider,B,L,2,1,0,0,4,0
2 Seam Fastball,Four-Seam Fastball,S,L,2,2,0,0,4,0
2 Seam Fastball,2 Seam Fastball,S,L,2,2,0,0,4,0
Cutter,2 Seam Fastball,S,L,2,2,0,0,4,0
Cutter,Cutter,B,L,3,2,0,0,4,0
Four-Seam Fastball,Cutter,S,R,0,0,0,1,4,0
Cutter,Four-Seam Fastball,S,R,0,1,0,1,4,0
Cutter,Cutter,S,R,0,2,0,1,4,0
Four-Seam Fastball,Cutter,X,L,0,0,0,1,4,-1
Four-Seam Fastball,Four-Seam Fastball,S,L,0,1,0,1,4,-1
Changeup,Four-Seam Fastball,B,L,1,1,0,1,4,-1
Slider,Changeup,S,L,1,2,0,1,4,-1
Four-Seam Fastball,Slider,S,L,1,2,0,1,4,-1
Cutter,Four-Seam Fastball,S,L,1,2,0,1,4,-1
Slider,Cutter,X,R,0,0,0,2,4,-1
Slider,Slider,S,R,0,1,0,2,4,-1
Four-Seam Fastball,Slider,S,R,0,2,0,2,4,-1
Slider,Four-Seam Fastball,S,R,0,2,0,2,4,-1
2 Seam Fastball,Slider,B,R,1,2,0,2,4,-1
2 Seam Fastball,2 Seam Fastball,X,R,0,0,0,0,5,-1
Slider,2 Seam Fastball,S,R,0,1,0,0,5,-1
Four-Seam Fastball,Slider,S,R,0,2,0,0,5,-1
Four-Seam Fastball,Four-Seam Fastball,B,R,1,2,0,0,5,-1
Slider,Four-Seam Fastball,X,L,0,0,1,0,5,-1
Cutter,Slider,S,L,0,1,1,0,5,-1
Cutter,Cutter,B,L,1,1,1,0,5,-1
Slider,Cutter,X,R,0,0,1,0,5,-1
Cutter,Slider,X,L,0,0,1,1,5,-1
Slider,Cutter,S,L,0,1,1,1,5,-1
Four-Seam Fastball,Slider,X,R,0,0,1,2,5,-1
Slider,Four-Seam Fastball,B,R,1,0,1,2,5,-1
Four-Seam Fastball,Slider,S,R,1,1,1,2,5,-1
Cutter,Four-Seam Fastball,B,R,2,1,1,2,5,-1
Slider,Cutter,S,R,2,2,1,2,5,-1
Slider,Slider,B,R,3,2,1,2,5,-1
Slider,Slider,X,L,0,0,0,0,6,-1
Cutter,Slider,S,L,0,1,0,0,6,-1
Four-Seam Fastball,Cutter,S,L,0,2,0,0,6,-1
2 Seam Fastball,Four-Seam Fastball,B,L,1,2,0,0,6,-1
2 Seam Fastball,2 Seam Fastball,B,L,2,2,0,0,6,-1
2 Seam Fastball,2 Seam Fastball,X,R,0,0,1,0,6,-1
2 Seam Fastball,2 Seam Fastball,S,R,0,1,1,0,6,-1
Slider,2 Seam Fastball,S,R,0,2,1,0,6,-1
Cutter,Slider,X,L,0,0,1,1,6,-1
Slider,Cutter,X,R,0,0,1,2,6,-1
2 Seam Fastball,Slider,B,R,1,0,1,2,6,-1
Slider,2 Seam Fastball,B,R,2,0,1,2,6,-1
Cutter,Slider,X,L,0,0,1,2,6,-2
Slider,Cutter,S,L,0,1,1,2,6,-2
2 Seam Fastball,Slider,B,L,1,1,1,2,6,-2
Four-Seam Fastball,2 Seam Fastball,S,L,1,2,1,2,6,-2
Four-Seam Fastball,Four-Seam Fastball,S,L,0,0,0,0,1,0
Slider,Four-Seam Fastball,B,L,1,0,0,0,1,0
Slider,Slider,B,L,2,0,0,0,1,0
Cutter,Slider,X,R,0,0,0,1,1,0
Slider,Cutter,S,R,0,1,0,1,1,0
Four-Seam Fastball,Slider,X,R,0,0,1,1,1,0
2 Seam Fastball,Four-Seam Fastball,S,R,0,1,1,1,1,0
Cutter,2 Seam Fastball,B,L,0,0,1,1,1,0
Slider,Cutter,B,L,1,0,1,1,1,0
Cutter,Slider,X,L,0,0,1,1,1,0
Four-Seam Fastball,Cutter,S,L,0,1,1,1,1,0
Slider,Four-Seam Fastball,B,L,1,1,1,1,1,0
Cutter,Slider,S,L,1,2,1,1,1,-1
Four-Seam Fastball,Cutter,S,L,0,0,1,2,1,-1
Four-Seam Fastball,Four-Seam Fastball,S,L,0,1,1,2,1,-1
Four-Seam Fastball,Four-Seam Fastball,X,L,0,0,0,0,2,-1
Four-Seam Fastball,Four-Seam Fastball,S,L,0,1,0,0,2,-1
Cutter,Four-Seam Fastball,B,L,1,1,0,0,2,-1
Cutter,Cutter,B,L,2,1,0,0,2,-1
Cutter,Cutter,X,R,0,0,0,1,2,-1
Cutter,Cutter,B,R,1,0,0,1,2,-1
Slider,Cutter,B,R,2,0,0,1,2,-1
Four-Seam Fastball,Slider,S,R,2,1,0,1,2,-1
Slider,Four-Seam Fastball,S,R,2,2,0,1,2,-1
Four-Seam Fastball,Slider,S,R,2,2,0,1,2,-1
Cutter,Four-Seam Fastball,S,R,2,2,0,1,2,-1
2 Seam Fastball,Cutter,S,R,2,2,0,1,2,-1
Slider,2 Seam Fastball,X,R,0,0,1,1,2,-1
Four-Seam Fastball,Slider,X,L,0,0,0,0,3,0
Four-Seam Fastball,Four-Seam Fastball,X,R,0,0,1,0,3,0
Cutter,Four-Seam Fastball,S,R,0,1,1,0,3,0
Slider,Cutter,S,R,0,2,1,0,3,0
Slider,Slider,B,R,1,2,1,0,3,0
Cutter,Slider,B,R,2,2,1,0,3,0
Cutter,Cutter,S,R,0,0,1,1,3,0
Four-Seam Fastball,Cutter,X,L,0,0,0,0,4,0
Slider,Four-Seam Fastball,S,L,0,1,0,0,4,0
Four-Seam Fastball,Slider,S,L,0,2,0,0,4,0
Four-Seam Fastball,Four-Seam Fastball,B,L,1,2,0,0,4,0
Four-Seam Fastball,Four-Seam Fastball,B,L,2,2,0,0,4,0
Cutter,Four-Seam Fastball,S,L,2,2,0,0,4,0
Slider,Cutter,B,L,3,2,0,0,4,0
2 Seam Fastball,Slider,B,L,0,0,1,0,4,0
Cutter,2 Seam Fastball,X,L,0,0,0,2,4,0
Slider,Cutter,B,L,1,0,0,2,4,0
Slider,Slider,B,L,2,0,0,2,4,0
Four-Seam Fastball,Slider,S,L,2,1,0,2,4,0
Four-Seam Fastball,Four-Seam Fastball,B,L,3,1,0,2,4,0
Four-Seam Fastball,Four-Seam Fastball,X,L,0,0,1,2,4,0
Slider,Four-Seam Fastball,X,R,0,0,0,0,5,0
2 Seam Fastball,Slider,B,R,1,0,0,0,5,0
Cutter,2 Seam Fastball,X,R,0,0,0,1,5,0
Slider,Cutter,S,R,0,1,0,1,5,0
Four-Seam Fastball,Slider,B,R,1,1,0,1,5,0
Cutter,Four-Seam Fastball,S,R,1,2,0,1,5,0
Four-Seam Fastball,Cutter,B,R,2,2,0,1,5,0
Cutter,Four-Seam Fastball,S,L,0,0,0,2,5,0
Cutter,Cutter,S,L,0,1,0,2,5,0
Cutter,Cutter,B,L,1,1,0,2,5,0
2 Seam Fastball,Cutter,X,R,0,0,0,0,6,0
Four-Seam Fastball,2 Seam Fastball,B,R,1,0,0,0,6,0
Cutter,Four-Seam Fastball,S,R,1,1,0,0,6,0
2 Seam Fastball,Cutter,S,R,1,2,0,0,6,0
Four-Seam Fastball,2 Seam Fastball,B,R,2,2,0,0,6,0
Four-Seam Fastball,Four-Seam Fastball,S,R,2,2,0,0,6,0
Cutter,Four-Seam Fastball,S,R,2,2,0,0,6,0
2 Seam Fastball,Cutter,S,R,2,2,0,0,6,0
Cutter,2 Seam Fastball,X,L,0,0,0,0,6,-1
Slider,Cutter,S,L,0,1,0,0,6,-1
Four-Seam Fastball,Slider,S,L,0,2,0,0,6,-1
Four-Seam Fastball,Four-Seam Fastball,B,L,1,2,0,0,6,-1
Cutter,Four-Seam Fastball,S,L,1,2,0,0,6,-1
Four-Seam Fastball,Cutter,S,L,0,0,0,1,6,-1
Cutter,Four-Seam Fastball,S,L,0,1,0,1,6,-1
Cutter,Cutter,S,L,0,2,0,1,6,-1
